price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,month,day,is_renovated
308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,Shoreline,5,2,1
439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,Seattle,5,2,1
235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,Seattle,5,2,0
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,Other,5,2,1
407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,Renton,5,2,0
445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,Seattle,5,2,0
805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,Seattle,5,2,0
470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,Other,5,2,0
430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,Bellevue,5,2,1
785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,Snoqualmie,5,2,0
385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,Seattle,5,2,0
295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,Seattle,5,2,0
555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,Snoqualmie,5,2,1
459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,Other,5,2,1
300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,Kent,5,2,0
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,Renton,5,3,1
553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,Seattle,5,3,0
379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,Issaquah,5,3,0
310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,Snoqualmie,5,3,0
775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,Redmond,5,4,1
365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,Renton,5,4,0
331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,Auburn,5,4,1
783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,Seattle,5,4,0
628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,Seattle,5,4,1
560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,Sammamish,5,5,1
531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,Seattle,5,5,0
831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,Seattle,5,5,1
780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,Sammamish,5,5,0
755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,Bellevue,5,5,1
705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,Issaquah,5,5,0
627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,Issaquah,5,5,1
865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,Sammamish,5,5,1
580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,Seattle,5,5,0
485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,Kirkland,5,5,0
400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,Shoreline,5,5,0
549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,Seattle,5,5,0
620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,Kirkland,5,5,0
405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,Seattle,5,5,0
232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,Des Moines,5,5,1
800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,Kirkland,5,5,0
650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,Seattle,5,5,1
823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,Seattle,5,5,0
770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,Seattle,5,5,1
524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,Seattle,5,5,0
541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,Bellevue,5,5,1
670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,Seattle,5,5,1
384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,Federal Way,5,5,1
406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,Seattle,5,5,0
570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,Redmond,5,5,0
787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,Bellevue,5,5,1
328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,Auburn,5,5,1
435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,Seattle,5,5,1
499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,Snoqualmie,5,5,0
501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,Bellevue,5,5,1
400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,Seattle,5,5,1
220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,Federal Way,5,5,0
657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,Seattle,5,5,1
309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,Maple Valley,5,5,0
300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,Other,5,5,0
740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,Seattle,5,5,0
340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,Kirkland,5,5,0
398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,Seattle,5,5,1
206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,Burien,5,5,0
1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,Bellevue,5,5,0
379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,Shoreline,5,5,0
287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,Seattle,5,5,1
309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,Renton,5,5,0
600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,Seattle,5,5,0
418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,Seattle,5,5,0
449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,Seattle,5,5,1
329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,Seattle,5,5,1
245000.0,3.0,1.75,1920,9306,1.0,0,0,3,1000,920,Auburn,5,5,0
549000.0,4.0,2.5,2910,6338,2.0,0,0,3,2910,0,Renton,5,5,0
800000.0,3.0,2.5,3240,7857,2.0,0,0,3,3240,0,Sammamish,5,5,0
249950.0,3.0,2.0,1550,15040,1.0,0,0,4,1550,0,Renton,5,5,1
210000.0,5.0,2.0,2050,10200,1.0,0,0,3,1430,620,Des Moines,5,5,1
585000.0,2.0,1.0,1770,8640,1.5,0,0,3,1520,250,Seattle,5,5,1
615000.0,4.0,1.75,2300,11700,1.0,0,0,4,1960,340,Redmond,5,5,0
618500.0,3.0,2.0,1800,5000,1.0,0,0,4,1080,720,Seattle,5,5,1
487585.0,4.0,1.75,2010,9211,1.0,0,0,3,1470,540,Kirkland,5,5,1
509900.0,3.0,2.5,1790,2700,2.0,0,0,3,1790,0,Issaquah,5,5,0
631625.0,4.0,2.5,2440,6651,2.0,0,0,3,2440,0,Seattle,5,5,0
555000.0,3.0,2.5,1940,3211,2.0,0,0,3,1940,0,Issaquah,5,5,0
340000.0,2.0,1.5,1160,1438,2.0,0,0,3,1160,0,Seattle,5,5,0
830000.0,4.0,2.5,3400,9692,2.0,0,0,3,3400,0,Redmond,5,5,0
366750.0,3.0,3.0,1571,2017,3.0,0,0,3,1571,0,Seattle,5,5,0
415000.0,3.0,2.25,1620,998,2.5,0,0,3,1540,80,Issaquah,5,5,0
416286.0,3.0,2.5,1408,989,3.0,0,0,3,1408,0,Seattle,5,5,0
478000.0,3.0,2.5,3040,4535,2.0,0,0,3,3040,0,Renton,5,5,0
419190.0,2.0,2.5,1590,1426,2.0,0,0,3,1590,0,Issaquah,5,5,0
712198.0,4.0,2.5,2450,4247,2.0,0,0,3,2450,0,Redmond,5,5,1
397000.0,4.0,2.0,1440,7680,1.0,0,0,3,1200,240,Kirkland,5,6,0
450000.0,2.0,2.0,1100,3000,1.5,0,0,3,1100,0,Seattle,5,6,1
353000.0,3.0,1.0,1350,7740,1.0,0,0,4,860,490,Seattle,5,6,1
234000.0,3.0,1.75,1490,8366,1.0,0,0,4,1010,480,Other,5,6,0
561000.0,3.0,2.0,2000,7000,2.0,0,0,3,2000,0,Seattle,5,6,1
469000.0,2.0,1.0,1030,4400,1.0,0,0,3,1030,0,Seattle,5,6,1
329350.0,2.0,1.0,720,6687,1.0,0,0,3,720,0,Seattle,5,6,1
488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,Seattle,5,6,0
279900.0,3.0,1.75,1580,8151,1.0,0,1,4,1100,480,Des Moines,5,6,0
606000.0,4.0,2.5,2110,13850,2.0,0,0,3,2110,0,Issaquah,5,6,1
312000.0,4.0,2.0,1300,7054,1.0,0,0,3,1300,0,Seattle,5,6,1
650000.0,3.0,1.5,1630,7475,1.0,0,1,3,1160,470,Seattle,5,6,1
1135000.0,4.0,2.75,3370,8103,1.0,0,3,3,1970,1400,Seattle,5,6,1
325000.0,4.0,2.5,1890,6156,1.0,0,0,3,980,910,Seattle,5,6,0
425000.0,4.0,2.0,1520,7983,1.0,0,0,5,1520,0,Other,5,6,0
219000.0,2.0,1.0,900,5160,1.0,0,0,3,900,0,Seattle,5,6,1
250000.0,3.0,1.0,1050,6874,1.0,0,0,3,1050,0,Shoreline,5,6,1
390000.0,3.0,1.75,1260,6500,1.0,0,0,4,1260,0,Bellevue,5,6,0
736000.0,4.0,2.5,2290,12047,2.0,0,0,4,2290,0,Bellevue,5,6,0
272000.0,3.0,2.5,1650,13816,2.0,0,0,3,1650,0,Other,5,6,1
362000.0,3.0,2.25,1640,14374,1.0,0,0,4,1140,500,Burien,5,6,0
535000.0,3.0,2.5,1850,10109,2.0,0,0,3,1850,0,Kirkland,5,6,0
284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,Kent,5,6,0
367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,Shoreline,5,6,1
379900.0,4.0,1.75,1500,11600,1.0,0,0,4,1000,500,Kenmore,5,6,1
175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,Renton,5,6,1
460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,Seattle,5,6,1
345000.0,4.0,2.5,2331,3826,2.0,0,0,3,2331,0,Renton,5,6,0
455000.0,5.0,2.5,2240,7770,1.0,0,0,3,1340,900,Kirkland,5,6,0
610000.0,4.0,3.0,2450,10117,1.0,0,0,5,1580,870,Bellevue,5,6,0
563000.0,4.0,3.0,3100,15480,2.0,0,0,3,2400,700,Kenmore,5,6,0
612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,Seattle,5,6,1
218000.0,3.0,1.75,1850,7684,1.0,0,0,3,1320,530,Federal Way,5,6,1
404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,Bellevue,5,6,1
136500.0,3.0,1.5,1420,8580,1.0,0,0,3,1420,0,Federal Way,5,6,1
313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,Seattle,5,6,1
575000.0,3.0,1.75,2130,6500,1.0,0,2,3,1170,960,Seattle,5,6,1
280000.0,3.0,1.75,1630,11800,1.0,0,0,4,1630,0,Other,5,6,0
515000.0,3.0,2.5,1790,7167,2.0,0,0,3,1790,0,Sammamish,5,6,0
513000.0,4.0,2.5,2000,5684,2.0,0,0,3,2000,0,Kenmore,5,6,0
685000.0,4.0,2.5,3030,7864,2.0,0,0,3,3030,0,Sammamish,5,6,0
365000.0,3.0,1.5,1310,8160,1.0,0,0,3,1310,0,Seattle,5,6,1
762300.0,4.0,2.5,3880,14550,2.0,0,0,3,3880,0,Sammamish,5,6,1
562000.0,5.0,2.25,3040,8111,2.0,0,0,3,3040,0,Redmond,5,6,0
530000.0,5.0,2.5,2910,9636,1.0,0,0,4,1690,1220,Bellevue,5,6,0
525000.0,3.0,2.5,2970,11985,1.0,0,0,3,1770,1200,Sammamish,5,6,0
484000.0,2.0,1.75,1660,6000,1.0,0,0,3,1160,500,Seattle,5,6,1
725126.0,4.0,2.5,3200,12369,2.0,0,0,3,3200,0,Other,5,6,1
387000.0,3.0,1.0,1230,9568,1.0,0,0,5,1230,0,Other,5,6,0
655500.0,4.0,3.5,3380,8330,2.0,0,0,3,3380,0,Shoreline,5,6,0
345000.0,3.0,1.0,1110,6250,1.0,0,0,3,1110,0,Seattle,5,6,1
533000.0,5.0,2.75,1800,3780,1.5,0,0,3,1400,400,Seattle,5,6,1
385000.0,3.0,1.75,1900,5520,1.0,0,0,3,1280,620,Seattle,5,6,0
197000.0,3.0,1.75,1690,7735,1.0,0,0,4,1060,630,Auburn,5,6,1
485000.0,3.0,2.0,1420,4080,1.5,0,0,3,1420,0,Seattle,5,6,1
295000.0,3.0,2.25,1980,8000,1.0,0,0,4,1560,420,Federal Way,5,6,0
499000.0,2.0,1.75,1170,2400,1.0,0,0,4,740,430,Seattle,5,6,0
1050000.0,3.0,2.5,2200,1970,2.0,0,0,3,1610,590,Seattle,5,6,0
191000.0,3.0,1.5,800,8850,1.0,0,0,4,800,0,Federal Way,5,6,0
500000.0,3.0,2.5,1480,1171,3.0,0,0,3,1480,0,Seattle,5,6,0
390000.0,5.0,3.75,2890,5000,1.0,0,0,3,1310,1580,Seattle,5,6,0
979000.0,3.0,2.5,2690,4047,3.0,0,0,3,2690,0,Seattle,5,6,0
580000.0,4.0,3.25,3569,8327,2.0,0,0,3,3569,0,Renton,5,6,1
369950.0,3.0,2.0,1270,1320,3.0,0,0,3,1270,0,Seattle,5,6,0
776000.0,4.0,2.5,3040,6425,2.0,0,0,3,3040,0,Redmond,5,6,0
519950.0,3.0,2.25,1170,1249,3.0,0,0,3,1170,0,Seattle,5,7,0
255000.0,5.0,2.25,2060,8632,1.0,0,0,3,1030,1030,Burien,5,7,1
495000.0,3.0,1.0,990,6000,1.0,0,0,3,990,0,Seattle,5,7,1
510000.0,4.0,2.5,2430,5203,2.0,0,0,3,2430,0,Shoreline,5,7,0
253000.0,3.0,1.75,1250,10122,1.0,0,0,3,1250,0,Other,5,7,0
503000.0,3.0,2.75,1540,6760,1.0,0,0,5,1210,330,Kirkland,5,7,0
275000.0,3.0,2.5,1600,7000,2.0,0,0,4,1600,0,Maple Valley,5,7,0
249000.0,3.0,1.0,1110,8423,1.0,0,0,3,1110,0,Burien,5,7,1
310000.0,3.0,1.75,1840,10723,1.0,0,0,4,1220,620,Renton,5,7,0
750000.0,3.0,2.75,2520,5401,1.0,0,0,4,1360,1160,Seattle,5,7,1
599999.0,9.0,4.5,3830,6988,2.5,0,0,3,2450,1380,Seattle,5,7,1
758000.0,4.0,2.75,2410,9549,1.0,0,0,4,1780,630,Kirkland,5,7,0
248500.0,4.0,1.75,1720,10018,1.0,0,0,5,1720,0,Other,5,7,0
460000.0,3.0,2.0,1760,9055,2.0,0,0,4,1760,0,Redmond,5,7,0
675000.0,3.0,1.75,1680,10500,1.0,0,0,4,1680,0,Bellevue,5,7,0
526000.0,2.0,2.0,1550,2400,1.5,0,0,4,1550,0,Seattle,5,7,1
415000.0,4.0,3.0,1830,9548,2.0,0,0,3,1830,0,Other,5,7,0
246000.0,3.0,1.0,1400,7410,1.0,0,0,3,1400,0,Burien,5,7,0
314500.0,3.0,1.75,1870,12381,1.0,0,0,4,1870,0,Federal Way,5,7,1
420000.0,2.0,1.5,1040,3500,1.5,0,0,4,1040,0,Seattle,5,7,0
350000.0,3.0,1.0,1010,9360,1.0,0,0,3,1010,0,Kirkland,5,7,1
515000.0,3.0,1.75,1580,9147,1.0,0,1,4,1210,370,Bellevue,5,7,0
749950.0,4.0,2.75,2600,6050,2.0,0,0,5,1960,640,Seattle,5,7,0
230000.0,3.0,2.5,1920,9180,2.0,0,0,3,1920,0,Renton,5,7,1
568000.0,3.0,2.0,2350,5080,1.5,0,0,3,1780,570,Seattle,5,7,0
250000.0,1.0,1.0,1100,4373,1.0,0,0,2,820,280,Burien,5,7,0
581000.0,4.0,2.0,2510,13695,1.0,0,0,4,1280,1230,Kirkland,5,7,1
500000.0,2.0,1.0,1010,3885,1.5,0,0,4,1010,0,Seattle,5,7,1
475000.0,2.0,1.0,820,2723,1.0,0,0,3,820,0,Seattle,5,7,1
352000.0,5.0,2.5,2420,8560,1.0,0,2,3,1620,800,Seattle,5,7,0
420000.0,3.0,2.25,1770,8165,2.0,0,0,3,1770,0,Kirkland,5,7,1
428000.0,2.0,2.0,1350,3900,1.0,0,0,3,1350,0,Redmond,5,7,0
599000.0,3.0,1.75,1960,4788,1.0,0,0,4,1090,870,Seattle,5,7,0
492000.0,4.0,2.5,3305,16164,1.5,0,0,5,2245,1060,Shoreline,5,7,1
630000.0,2.0,2.25,2550,5663,1.0,0,0,3,1720,830,Renton,5,7,0
1110000.0,4.0,1.5,2310,13300,1.0,0,0,3,1890,420,Other,5,7,1
575000.0,4.0,2.0,1650,5000,1.0,0,0,3,1650,0,Seattle,5,7,1
705000.0,4.0,2.5,2650,4316,1.5,0,0,3,1520,1130,Seattle,5,7,1
940000.0,4.0,2.25,1890,5940,1.0,0,1,3,1470,420,Seattle,5,7,1
313000.0,3.0,1.75,2190,8000,1.0,0,0,4,2190,0,Federal Way,5,7,0
618080.0,3.0,2.5,2030,6500,2.0,0,0,3,2030,0,Issaquah,5,7,1
640000.0,3.0,3.0,2270,5175,2.0,0,0,3,2130,140,Renton,5,7,0
485000.0,3.0,2.0,1610,4160,1.0,0,0,4,1010,600,Seattle,5,7,0
300000.0,2.0,1.0,760,3001,1.0,0,0,3,760,0,Seattle,5,7,1
379500.0,2.0,1.0,1640,17335,1.0,0,0,3,840,800,Redmond,5,7,0
339950.0,3.0,2.25,1630,12295,2.0,0,0,4,1630,0,Renton,5,7,0
239900.0,3.0,2.0,1410,7566,1.0,0,0,3,1410,0,Kent,5,7,0
314950.0,3.0,1.0,1040,16986,1.0,0,0,4,1040,0,Renton,5,7,0
361280.0,2.0,1.0,820,6400,1.0,0,0,4,820,0,Seattle,5,7,0
540000.0,7.0,5.75,3700,7647,2.0,0,1,3,3700,0,Other,5,7,1
480500.0,4.0,2.5,2180,11200,1.0,0,0,4,2180,0,Other,5,7,0
280000.0,3.0,2.5,1600,4271,2.0,0,0,3,1600,0,Auburn,5,7,0
440000.0,3.0,1.75,1500,6180,1.0,0,0,4,1060,440,Seattle,5,7,1
530000.0,3.0,1.0,1340,4284,1.0,0,0,3,1080,260,Seattle,5,7,1
560000.0,3.0,2.0,1860,13374,1.0,0,0,3,1860,0,Issaquah,5,7,0
775000.0,3.0,2.0,2540,7200,1.5,0,3,4,1600,940,Seattle,5,7,0
160000.0,2.0,1.0,1040,13100,1.0,0,0,5,1040,0,Kent,5,7,0
209950.0,3.0,1.5,1380,11130,1.0,0,0,3,1380,0,Federal Way,5,7,1
226500.0,3.0,1.75,1640,10762,1.0,0,0,3,1130,510,Other,5,7,1
380000.0,5.0,1.75,3000,6000,1.0,0,0,5,1500,1500,Seattle,5,7,0
409500.0,4.0,2.75,2140,13000,1.0,0,0,3,1320,820,Kenmore,5,7,1
690000.0,3.0,2.0,1760,6428,1.0,0,0,4,980,780,Seattle,5,7,1
405000.0,3.0,2.25,1660,8307,1.0,0,0,4,1660,0,Shoreline,5,7,1
375000.0,3.0,2.5,1830,13042,2.0,0,0,3,1830,0,Maple Valley,5,7,1
794154.0,4.0,2.0,2210,8556,1.0,0,1,4,1210,1000,Seattle,5,7,1
185000.0,4.0,1.0,1490,6600,1.0,0,0,3,1490,0,Burien,5,7,1
245000.0,3.0,1.5,1260,1270,2.0,0,0,3,1040,220,Seattle,5,7,0
1040000.0,4.0,3.5,3900,8391,2.0,0,0,3,3900,0,Kirkland,5,7,0
425000.0,2.0,2.5,1150,1027,3.0,0,0,3,1150,0,Seattle,5,7,0
365000.0,5.0,2.75,2410,5003,1.0,0,0,3,1410,1000,Seattle,5,7,0
417250.0,3.0,2.25,1606,1452,3.0,0,0,3,1606,0,Seattle,5,7,0
339950.0,2.0,1.0,820,681,3.0,0,0,3,820,0,Seattle,5,7,0
615000.0,2.0,1.0,1540,6872,1.0,0,0,4,820,720,Seattle,5,8,1
403000.0,3.0,2.75,2090,8354,2.0,0,0,3,2090,0,Other,5,8,1
980000.0,5.0,2.5,3160,11470,1.0,0,0,4,1780,1380,Other,5,8,0
258000.0,4.0,1.75,1730,8320,1.0,0,0,3,1230,500,Federal Way,5,8,1
533000.0,3.0,1.0,1670,4080,1.0,0,0,3,1170,500,Seattle,5,8,1
537500.0,4.0,2.5,2550,4630,2.0,0,0,3,2550,0,Sammamish,5,8,0
830000.0,5.0,3.0,3040,9601,1.0,0,0,5,1970,1070,Other,5,8,0
712000.0,3.0,1.0,1250,4620,1.5,0,0,4,1150,100,Seattle,5,8,1
262000.0,4.0,2.5,2020,6236,2.0,0,0,3,2020,0,Other,5,8,0
753888.0,4.0,2.5,2660,5500,2.0,0,2,3,2660,0,Issaquah,5,8,0
134000.0,2.0,1.5,980,5000,2.0,0,0,3,980,0,Other,5,8,1
402000.0,3.0,2.5,1960,8000,1.0,0,0,4,1290,670,Kirkland,5,8,0
205000.0,2.0,1.0,720,5040,1.0,0,0,3,720,0,Seattle,5,8,1
553650.0,2.0,2.5,1360,1349,2.0,0,0,3,1050,310,Seattle,5,8,0
559950.0,2.0,2.0,1870,4950,1.0,0,0,3,1870,0,Redmond,5,8,0
260000.0,4.0,1.5,2130,8800,1.0,0,0,3,1100,1030,Kent,5,8,1
270000.0,4.0,2.5,1810,6509,2.0,0,0,3,1810,0,Kent,5,8,0
719000.0,3.0,2.5,1690,4500,1.5,0,1,4,1690,0,Seattle,5,8,0
266000.0,3.0,2.5,1940,8547,1.0,0,0,3,1460,480,Kent,5,8,0
325900.0,4.0,2.5,2320,6270,2.0,0,0,3,2320,0,Kent,5,8,1
1039000.0,4.0,1.0,3410,5000,2.0,0,0,5,2190,1220,Seattle,5,8,0
246000.0,3.0,1.75,1390,7399,1.0,0,0,4,1390,0,Kent,5,8,0
515000.0,2.0,1.0,1060,4960,1.0,0,0,3,1060,0,Seattle,5,8,1
207000.0,3.0,1.0,1490,8995,1.0,0,0,4,1490,0,Seattle,5,8,1
780000.0,4.0,1.75,2480,9195,1.0,0,0,3,1390,1090,Bellevue,5,8,1
295000.0,3.0,2.5,1920,7229,2.0,0,0,3,1920,0,Federal Way,5,8,0
385000.0,3.0,1.75,1890,9920,1.0,0,0,3,1230,660,Seattle,5,8,0
350000.0,4.0,1.75,2250,13515,1.0,0,0,4,2150,100,Kent,5,8,1
235000.0,2.0,1.0,1270,3008,1.0,0,0,4,650,620,Seattle,5,8,0
358000.0,2.0,1.5,960,1808,2.0,0,0,3,960,0,Seattle,5,8,0
716500.0,4.0,2.5,3290,6465,2.0,0,0,3,3290,0,Sammamish,5,8,0
228000.0,4.0,1.75,2000,6120,1.0,0,0,3,1100,900,Seattle,5,8,1
405000.0,2.0,1.0,1020,8155,1.0,0,0,4,1020,0,Seattle,5,8,0
538000.0,4.0,1.75,1840,9600,1.0,0,0,3,1220,620,Redmond,5,8,1
530000.0,3.0,1.75,1980,6760,1.0,0,0,4,1980,0,Bellevue,5,8,0
636000.0,2.0,1.75,1230,3600,1.5,0,0,5,1230,0,Seattle,5,8,0
868500.0,3.0,2.5,2920,3942,3.0,0,0,3,2920,0,Renton,5,8,0
530000.0,4.0,2.75,2280,2850,1.5,0,0,4,1540,740,Seattle,5,8,0
230000.0,3.0,1.75,950,6000,1.0,0,0,3,790,160,Seattle,5,8,1
229000.0,3.0,2.5,1190,3000,2.0,0,0,3,1190,0,Other,5,8,0
437000.0,3.0,1.75,1310,9282,1.0,0,0,4,1310,0,Redmond,5,8,1
595000.0,3.0,2.5,1750,3354,2.0,0,0,4,1750,0,Kirkland,5,8,0
660000.0,3.0,1.75,1320,5750,1.5,0,0,5,1320,0,Seattle,5,8,0
347500.0,4.0,2.5,2460,7350,2.0,0,0,3,2460,0,Federal Way,5,8,0
297950.0,3.0,2.0,1240,10800,1.0,0,0,3,1240,0,Renton,5,8,1
245000.0,3.0,1.5,1260,7964,1.0,0,0,4,1260,0,Des Moines,5,8,1
543200.0,6.0,2.25,2820,15600,1.5,0,2,5,1970,850,Burien,5,8,0
